htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
mdp.39015036908021	Library journal. v.43 1918	American Library Association. Library Association.	1918-00-00	1	1755854	4012654		https://catalog.hathitrust.org/Record/000494488	https://hdl.handle.net/2027/mdp.39015036908021
mdp.39015036909714	Library journal. v.45 1920	American Library Association. Library Association.	1920-00-00	1	1755854	4012654		https://catalog.hathitrust.org/Record/000494488	https://hdl.handle.net/2027/mdp.39015036909714
mdp.39015036909706	Library journal. v.46 1921	American Library Association. Library Association.	1921-00-00	1	1755854	4012654		https://catalog.hathitrust.org/Record/000494488	https://hdl.handle.net/2027/mdp.39015036909706
mdp.39015036909698	Library journal. v.47 1922	American Library Association. Library Association.	1922-00-00	1	1755854	4012654		https://catalog.hathitrust.org/Record/000494488	https://hdl.handle.net/2027/mdp.39015036909698
mdp.39015033901821	"Library literature, 1921-1932; a supplement to Cannons' Bibliography of library economy, 1876-1920; compiled by the Junior members round table of the American Library Association, under the editorship of Lucile M. Morsch."	American Library Association. Junior Members Round Table.	1934-00-00	1	885067	34005185		https://catalog.hathitrust.org/Record/000961538	https://hdl.handle.net/2027/mdp.39015033901821
mdp.39015036843962	Library occurrent. v.1-2 1906-11	Indiana State Library. Public Library Commission of Indiana.	1911-00-00	1	1640688	sn78000631		https://catalog.hathitrust.org/Record/000525147	https://hdl.handle.net/2027/mdp.39015036843962
nyp.33433001053838	Library occurrent. v. 1-3 (Apr. 1906-Sept. 1914)	Indiana State Library. Public Library Commission of Indiana.	1914-00-00	1	1640688	sn78000631		https://catalog.hathitrust.org/Record/000525147	https://hdl.handle.net/2027/nyp.33433001053838
mdp.39015036843970	Library occurrent. v.3-4 1911-17	Indiana State Library. Public Library Commission of Indiana.	1917-00-00	1	1640688	sn78000631		https://catalog.hathitrust.org/Record/000525147	https://hdl.handle.net/2027/mdp.39015036843970
nyp.33433001053846	Library occurrent. v. 4 (Jan. 1915-Oct. 1917)	Indiana State Library. Public Library Commission of Indiana.	1917-00-00	1	1640688	sn78000631		https://catalog.hathitrust.org/Record/000525147	https://hdl.handle.net/2027/nyp.33433001053846
mdp.39015036843988	Library occurrent. v.5 1918-20	Indiana State Library. Public Library Commission of Indiana.	1920-00-00	1	1640688	sn78000631		https://catalog.hathitrust.org/Record/000525147	https://hdl.handle.net/2027/mdp.39015036843988
nyp.33433001053853	Library occurrent. v. 5 (Jan. 1918-Oct. 1920)	Indiana State Library. Public Library Commission of Indiana.	1920-00-00	1	1640688	sn78000631		https://catalog.hathitrust.org/Record/000525147	https://hdl.handle.net/2027/nyp.33433001053853
mdp.39015036843996	Library occurrent. v.6 1921-23	Indiana State Library. Public Library Commission of Indiana.	1923-00-00	1	1640688	sn78000631		https://catalog.hathitrust.org/Record/000525147	https://hdl.handle.net/2027/mdp.39015036843996
mdp.39015035836785	Library work. v.1-2 1906-1909		1909-00-00	1	1755864	09032253/Additions.		https://catalog.hathitrust.org/Record/003936196	https://hdl.handle.net/2027/mdp.39015035836785
njp.32101076204625	Library work. v.1-2		1911-00-00	1	1755864	09032253/Additions.		https://catalog.hathitrust.org/Record/003936196	https://hdl.handle.net/2027/njp.32101076204625
chi.103300345	Library work. c.1 v.4-5 1910-11		1911-00-00	1	1755864	09032253/Additions.		https://catalog.hathitrust.org/Record/003936196	https://hdl.handle.net/2027/chi.103300345
nyp.33433003311721	Library work. v. 1-5 (Apr. 1906-Oct. 1911)		1911-00-00	1	1755864	09032253/Additions.		https://catalog.hathitrust.org/Record/003936196	https://hdl.handle.net/2027/nyp.33433003311721
njp.32101076204633	Library work. v.3		1911-00-00	1	1755864	09032253/Additions.		https://catalog.hathitrust.org/Record/003936196	https://hdl.handle.net/2027/njp.32101076204633
